bin1_start_0based	bin2_start_0based	observed_count
4805000	4827000	2
4809000	4827000	1
4810000	4827000	2
4813000	4827000	1
4814000	4827000	7
4815000	4827000	2
4816000	4827000	3
4817000	4827000	2
4818000	4827000	2
4819000	4827000	2
4820000	4827000	2
4821000	4827000	4
4822000	4827000	3
4823000	4827000	6
4824000	4827000	18
4825000	4827000	58
4826000	4827000	95
4827000	4827000	54
4804000	4828000	1
4806000	4828000	3
4807000	4828000	1
4808000	4828000	1
4809000	4828000	2
4810000	4828000	1
4813000	4828000	1
4815000	4828000	4
4816000	4828000	3
4817000	4828000	3
4818000	4828000	3
4819000	4828000	5
4820000	4828000	4
4821000	4828000	2
4822000	4828000	5
4823000	4828000	5
4824000	4828000	14
4825000	4828000	27
4826000	4828000	43
4827000	4828000	59
4828000	4828000	70
4805000	4829000	1
4806000	4829000	2
4810000	4829000	1
4813000	4829000	1
4814000	4829000	3
4815000	4829000	1
4816000	4829000	2
4818000	4829000	2
4819000	4829000	5
4820000	4829000	4
4821000	4829000	1
4822000	4829000	2
4823000	4829000	3
4824000	4829000	4
4825000	4829000	19
4826000	4829000	25
4827000	4829000	19
4828000	4829000	47
4829000	4829000	30
4804000	4830000	1
4809000	4830000	1
4811000	4830000	2
4812000	4830000	1
4814000	4830000	7
4815000	4830000	1
4816000	4830000	1
4817000	4830000	2
4818000	4830000	3
4819000	4830000	6
4820000	4830000	3
4821000	4830000	1
4822000	4830000	1
4823000	4830000	2
4824000	4830000	3
4825000	4830000	11
4826000	4830000	15
4827000	4830000	22
4828000	4830000	39
4829000	4830000	35
4830000	4830000	57
4804000	4831000	2
4805000	4831000	1
4806000	4831000	3
4807000	4831000	1
4810000	4831000	1
4811000	4831000	2
4813000	4831000	1
4814000	4831000	6
4815000	4831000	3
4816000	4831000	1
4817000	4831000	4
4818000	4831000	3
4819000	4831000	3
4820000	4831000	1
4822000	4831000	3
4823000	4831000	1
4824000	4831000	5
4825000	4831000	15
4826000	4831000	16
4827000	4831000	11
4828000	4831000	19
4829000	4831000	23
4830000	4831000	70
4831000	4831000	59
4813000	4832000	1
4814000	4832000	5
4815000	4832000	1
4816000	4832000	1
4817000	4832000	1
4818000	4832000	3
4819000	4832000	3
4820000	4832000	2
4824000	4832000	1
4825000	4832000	3
4826000	4832000	6
4827000	4832000	4
4828000	4832000	8
4829000	4832000	10
4830000	4832000	26
4831000	4832000	75
4832000	4832000	49
4806000	4833000	2
4807000	4833000	1
4814000	4833000	3
4817000	4833000	1
4819000	4833000	6
4820000	4833000	2
4824000	4833000	2
4825000	4833000	4
4826000	4833000	4
4827000	4833000	1
4828000	4833000	1
4829000	4833000	3
4830000	4833000	6
4831000	4833000	26
4832000	4833000	44
4833000	4833000	49
4807000	4834000	3
4808000	4834000	2
4811000	4834000	2
4812000	4834000	3
4814000	4834000	2
4815000	4834000	1
4817000	4834000	1
4819000	4834000	8
4822000	4834000	1
4824000	4834000	8
4825000	4834000	11
4826000	4834000	5
4827000	4834000	7
4828000	4834000	9
4829000	4834000	9
4830000	4834000	14
4831000	4834000	45
4832000	4834000	46
4833000	4834000	53
4834000	4834000	114
4809000	4835000	1
4816000	4835000	1
4817000	4835000	1
4819000	4835000	2
4820000	4835000	2
4821000	4835000	1
4823000	4835000	1
4824000	4835000	1
4825000	4835000	1
4826000	4835000	3
4827000	4835000	3
4828000	4835000	5
4829000	4835000	4
4830000	4835000	6
4831000	4835000	16
4832000	4835000	15
4833000	4835000	13
4834000	4835000	75
4835000	4835000	51
4807000	4836000	1
4810000	4836000	1
4814000	4836000	1
4817000	4836000	1
4819000	4836000	1
4821000	4836000	1
4822000	4836000	1
4823000	4836000	1
4825000	4836000	3
4827000	4836000	3
4829000	4836000	1
4830000	4836000	1
4831000	4836000	10
4832000	4836000	2
4833000	4836000	6
4834000	4836000	49
4835000	4836000	43
4836000	4836000	54
4804000	4837000	1
4815000	4837000	1
4817000	4837000	2
4819000	4837000	1
4825000	4837000	1
4826000	4837000	3
4827000	4837000	2
4828000	4837000	3
4829000	4837000	1
4830000	4837000	1
4831000	4837000	6
4832000	4837000	1
4833000	4837000	2
4834000	4837000	20
4835000	4837000	9
4836000	4837000	34
4837000	4837000	41
4806000	4838000	1
4814000	4838000	2
4815000	4838000	2
4818000	4838000	1
4819000	4838000	2
4820000	4838000	1
4821000	4838000	2
4822000	4838000	1
4825000	4838000	3
4826000	4838000	1
4827000	4838000	3
4828000	4838000	1
4829000	4838000	1
4830000	4838000	2
4831000	4838000	6
4832000	4838000	2
4833000	4838000	2
4834000	4838000	8
4835000	4838000	7
4836000	4838000	12
4837000	4838000	30
4838000	4838000	43
4810000	4839000	1
4817000	4839000	1
4820000	4839000	1
4821000	4839000	2
4825000	4839000	1
4826000	4839000	1
4828000	4839000	2
4829000	4839000	1
4830000	4839000	1
4831000	4839000	1
4832000	4839000	1
4833000	4839000	2
4834000	4839000	7
4835000	4839000	4
4836000	4839000	4
4837000	4839000	10
4838000	4839000	21
4839000	4839000	34
4811000	4840000	1
4814000	4840000	1
4819000	4840000	1
4820000	4840000	1
4825000	4840000	3
4829000	4840000	1
4831000	4840000	5
4832000	4840000	2
4834000	4840000	5
4835000	4840000	8
4836000	4840000	3
4837000	4840000	8
4838000	4840000	15
4839000	4840000	21
4840000	4840000	42
4814000	4841000	1
4817000	4841000	1
4819000	4841000	1
4820000	4841000	3
4824000	4841000	1
4825000	4841000	1
4826000	4841000	1
4830000	4841000	1
4831000	4841000	1
4834000	4841000	2
4835000	4841000	1
4836000	4841000	1
4837000	4841000	5
4838000	4841000	4
4839000	4841000	6
4840000	4841000	29
4841000	4841000	32
4803000	4842000	1
4807000	4842000	1
4822000	4842000	1
4825000	4842000	1
4826000	4842000	4
4831000	4842000	3
4834000	4842000	7
4835000	4842000	1
4836000	4842000	3
4837000	4842000	2
4839000	4842000	8
4840000	4842000	6
4841000	4842000	33
4842000	4842000	40
4815000	4843000	2
4818000	4843000	1
4825000	4843000	1
4826000	4843000	1
4827000	4843000	2
4828000	4843000	1
4831000	4843000	1
4832000	4843000	2
4833000	4843000	2
4834000	4843000	2
4836000	4843000	2
4837000	4843000	1
4838000	4843000	2
4839000	4843000	4
4840000	4843000	4
4841000	4843000	5
4842000	4843000	22
4843000	4843000	43
4814000	4844000	1
4819000	4844000	1
4825000	4844000	1
4826000	4844000	1
4827000	4844000	1
4828000	4844000	3
4830000	4844000	1
4831000	4844000	1
4832000	4844000	1
4833000	4844000	1
4834000	4844000	11
4835000	4844000	1
4836000	4844000	4
4837000	4844000	1
4838000	4844000	3
4839000	4844000	1
4840000	4844000	5
4841000	4844000	1
4842000	4844000	7
4843000	4844000	19
4844000	4844000	28
4810000	4845000	1
4820000	4845000	2
4825000	4845000	1
4828000	4845000	1
4830000	4845000	3
4831000	4845000	3
4832000	4845000	2
4833000	4845000	1
4834000	4845000	2
4835000	4845000	2
4836000	4845000	1
4838000	4845000	1
4839000	4845000	4
4840000	4845000	4
4841000	4845000	2
4842000	4845000	10
4843000	4845000	13
4844000	4845000	29
4845000	4845000	47
4810000	4846000	1
4812000	4846000	1
4820000	4846000	2
4824000	4846000	1
4825000	4846000	1
4826000	4846000	1
4831000	4846000	1
4833000	4846000	1
4834000	4846000	5
4836000	4846000	1
4837000	4846000	1
4838000	4846000	1
4839000	4846000	1
4840000	4846000	1
4841000	4846000	5
4842000	4846000	3
4843000	4846000	3
4844000	4846000	9
4845000	4846000	26
4846000	4846000	46
4814000	4847000	1
4815000	4847000	1
4817000	4847000	1
4819000	4847000	1
4820000	4847000	1
4829000	4847000	1
4830000	4847000	1
4831000	4847000	3
4835000	4847000	2
4837000	4847000	3
4838000	4847000	2
4839000	4847000	2
4841000	4847000	1
4842000	4847000	2
4844000	4847000	4
4845000	4847000	16
4846000	4847000	22
4847000	4847000	36
4814000	4848000	1
4818000	4848000	1
4819000	4848000	3
4826000	4848000	1
4827000	4848000	2
4829000	4848000	1
4830000	4848000	1
4831000	4848000	1
4832000	4848000	1
4833000	4848000	1
4834000	4848000	3
4837000	4848000	4
4838000	4848000	1
4839000	4848000	5
4841000	4848000	1
4842000	4848000	1
4843000	4848000	2
4844000	4848000	5
4845000	4848000	6
4846000	4848000	8
4847000	4848000	17
4848000	4848000	31
4803000	4849000	1
4805000	4849000	1
4806000	4849000	2
4815000	4849000	2
4819000	4849000	1
4824000	4849000	3
4825000	4849000	2
4826000	4849000	2
4828000	4849000	1
4829000	4849000	3
4830000	4849000	1
4831000	4849000	3
4832000	4849000	2
4833000	4849000	3
4834000	4849000	4
4835000	4849000	1
4836000	4849000	4
4837000	4849000	6
4838000	4849000	2
4839000	4849000	1
4840000	4849000	3
4841000	4849000	4
4842000	4849000	2
4843000	4849000	3
4844000	4849000	5
4845000	4849000	3
4846000	4849000	20
4847000	4849000	14
4848000	4849000	43
4849000	4849000	77
4814000	4850000	4
4817000	4850000	1
4819000	4850000	3
4820000	4850000	2
4822000	4850000	1
4825000	4850000	2
4827000	4850000	2
4828000	4850000	2
4830000	4850000	5
4831000	4850000	2
4834000	4850000	7
4835000	4850000	2
4836000	4850000	2
4837000	4850000	2
4838000	4850000	4
4839000	4850000	1
4840000	4850000	6
4841000	4850000	3
4842000	4850000	4
4843000	4850000	5
4844000	4850000	1
4845000	4850000	3
4846000	4850000	7
4847000	4850000	7
4848000	4850000	24
4849000	4850000	96
4850000	4850000	88
4811000	4851000	2
4814000	4851000	1
4815000	4851000	1
4819000	4851000	1
4825000	4851000	2
4826000	4851000	1
4830000	4851000	1
4831000	4851000	4
4832000	4851000	1
4833000	4851000	1
4834000	4851000	4
4836000	4851000	1
4837000	4851000	1
4840000	4851000	2
4843000	4851000	1
4845000	4851000	6
4846000	4851000	4
4847000	4851000	4
4848000	4851000	3
4849000	4851000	26
4850000	4851000	70
4851000	4851000	52
4828000	4852000	1
4829000	4852000	1
4841000	4852000	1
4843000	4852000	1
4848000	4852000	3
4849000	4852000	6
4850000	4852000	11
4851000	4852000	7
4852000	4852000	13
4803000	4853000	1
4807000	4853000	1
4810000	4853000	1
4812000	4853000	4
4814000	4853000	3
4815000	4853000	1
4819000	4853000	3
4821000	4853000	2
4822000	4853000	2
4825000	4853000	2
4826000	4853000	2
4827000	4853000	1
4829000	4853000	2
4830000	4853000	2
4831000	4853000	5
4832000	4853000	2
4833000	4853000	1
4834000	4853000	7
4835000	4853000	3
4838000	4853000	1
4839000	4853000	2
4840000	4853000	1
4841000	4853000	1
4842000	4853000	3
4843000	4853000	1
4844000	4853000	3
4845000	4853000	2
4846000	4853000	4
4847000	4853000	5
4848000	4853000	6
4849000	4853000	23
4850000	4853000	40
4851000	4853000	31
4852000	4853000	34
4853000	4853000	117
4819000	4854000	1
4820000	4854000	1
4824000	4854000	1
4825000	4854000	3
4827000	4854000	1
4832000	4854000	1
4833000	4854000	1
4837000	4854000	1
4841000	4854000	1
4842000	4854000	2
4848000	4854000	1
4849000	4854000	6
4850000	4854000	6
4851000	4854000	6
4852000	4854000	7
4853000	4854000	51
4854000	4854000	27
4808000	4855000	1
4820000	4855000	2
4834000	4855000	3
4844000	4855000	1
4847000	4855000	1
4848000	4855000	4
4849000	4855000	7
4850000	4855000	4
4851000	4855000	8
4852000	4855000	4
4853000	4855000	10
4854000	4855000	27
4855000	4855000	39
4805000	4856000	1
4824000	4856000	1
4827000	4856000	1
4829000	4856000	1
4832000	4856000	1
4833000	4856000	1
4835000	4856000	1
4837000	4856000	1
4838000	4856000	1
4839000	4856000	3
4845000	4856000	1
4847000	4856000	2
4849000	4856000	1
4850000	4856000	5
4851000	4856000	3
4853000	4856000	9
4854000	4856000	9
4855000	4856000	34
4856000	4856000	37
4805000	4857000	1
4818000	4857000	1
4826000	4857000	1
4831000	4857000	1
4834000	4857000	1
4839000	4857000	1
4845000	4857000	1
4848000	4857000	2
4849000	4857000	1
4850000	4857000	1
4853000	4857000	10
4854000	4857000	1
4855000	4857000	9
4856000	4857000	21
4857000	4857000	23
4807000	4858000	1
4814000	4858000	1
4829000	4858000	1
4830000	4858000	1
4833000	4858000	2
4834000	4858000	1
4839000	4858000	1
4846000	4858000	2
4849000	4858000	2
4850000	4858000	1
4851000	4858000	1
4853000	4858000	4
4854000	4858000	4
4856000	4858000	6
4857000	4858000	15
4858000	4858000	30
4815000	4859000	1
4826000	4859000	2
4831000	4859000	1
4834000	4859000	1
4836000	4859000	1
4840000	4859000	1
4847000	4859000	2
4849000	4859000	1
4851000	4859000	1
4853000	4859000	2
4856000	4859000	2
4857000	4859000	7
4858000	4859000	16
4859000	4859000	16
4811000	4860000	1
4824000	4860000	1
4825000	4860000	1
4827000	4860000	2
4832000	4860000	1
4845000	4860000	1
4850000	4860000	2
4851000	4860000	1
4853000	4860000	5
4854000	4860000	1
4855000	4860000	1
4856000	4860000	4
4857000	4860000	2
4858000	4860000	1
4859000	4860000	10
4860000	4860000	13
4822000	4861000	2
4828000	4861000	1
4847000	4861000	1
4849000	4861000	1
4851000	4861000	1
4853000	4861000	5
4856000	4861000	2
4858000	4861000	3
4859000	4861000	6
4860000	4861000	12
4861000	4861000	21
4806000	4862000	1
4826000	4862000	1
4827000	4862000	1
4832000	4862000	1
4838000	4862000	1
4846000	4862000	2
4850000	4862000	2
4851000	4862000	2
4854000	4862000	1
4855000	4862000	3
4856000	4862000	3
4857000	4862000	1
4858000	4862000	1
4859000	4862000	3
4860000	4862000	1
4861000	4862000	21
4862000	4862000	41
4813000	4863000	1
4819000	4863000	1
4825000	4863000	2
4826000	4863000	1
4830000	4863000	1
4831000	4863000	1
4832000	4863000	1
4833000	4863000	2
4837000	4863000	1
4838000	4863000	1
4839000	4863000	1
4840000	4863000	1
4841000	4863000	1
4846000	4863000	1
4847000	4863000	1
4848000	4863000	1
4849000	4863000	2
4851000	4863000	1
4853000	4863000	2
4854000	4863000	2
4856000	4863000	1
4857000	4863000	1
4858000	4863000	1
4860000	4863000	1
4861000	4863000	4
4862000	4863000	26
4863000	4863000	31
4819000	4864000	1
4825000	4864000	1
4832000	4864000	1
4837000	4864000	1
4850000	4864000	1
4851000	4864000	2
4852000	4864000	1
4853000	4864000	2
4854000	4864000	1
4855000	4864000	1
4857000	4864000	2
4858000	4864000	1
4859000	4864000	3
4860000	4864000	2
4861000	4864000	3
4862000	4864000	8
4863000	4864000	27
4864000	4864000	44
4814000	4865000	1
4817000	4865000	1
4818000	4865000	1
4819000	4865000	1
4831000	4865000	1
4832000	4865000	1
4834000	4865000	2
4845000	4865000	1
4848000	4865000	2
4850000	4865000	2
4851000	4865000	3
4853000	4865000	3
4857000	4865000	1
4858000	4865000	1
4859000	4865000	2
4861000	4865000	3
4862000	4865000	6
4863000	4865000	8
4864000	4865000	28
4865000	4865000	19
4807000	4866000	1
4809000	4866000	1
4814000	4866000	1
4816000	4866000	1
4818000	4866000	1
4825000	4866000	2
4826000	4866000	3
4828000	4866000	1
4829000	4866000	1
4835000	4866000	1
4836000	4866000	1
4838000	4866000	1
4841000	4866000	1
4851000	4866000	1
4853000	4866000	2
4854000	4866000	1
4856000	4866000	2
4858000	4866000	1
4859000	4866000	1
4860000	4866000	2
4862000	4866000	3
4863000	4866000	14
4864000	4866000	21
4865000	4866000	25
4866000	4866000	44
4804000	4867000	1
4806000	4867000	1
4810000	4867000	1
4813000	4867000	2
4814000	4867000	4
4818000	4867000	1
4819000	4867000	3
4824000	4867000	2
4825000	4867000	1
4826000	4867000	1
4830000	4867000	4
4831000	4867000	6
4834000	4867000	3
4840000	4867000	1
4842000	4867000	1
4844000	4867000	2
4845000	4867000	2
4847000	4867000	2
4849000	4867000	5
4850000	4867000	5
4851000	4867000	2
4852000	4867000	1
4853000	4867000	3
4854000	4867000	2
4855000	4867000	6
4856000	4867000	2
4858000	4867000	1
4859000	4867000	2
4860000	4867000	3
4861000	4867000	2
4862000	4867000	6
4863000	4867000	7
4864000	4867000	12
4865000	4867000	26
4866000	4867000	70
4867000	4867000	82
4803000	4868000	1
4805000	4868000	2
4806000	4868000	4
4813000	4868000	1
4814000	4868000	3
4815000	4868000	3
4818000	4868000	2
4819000	4868000	3
4820000	4868000	2
4821000	4868000	1
4822000	4868000	2
4823000	4868000	2
4825000	4868000	6
4826000	4868000	4
4827000	4868000	4
4828000	4868000	1
4829000	4868000	3
4830000	4868000	5
4831000	4868000	6
4832000	4868000	4
4833000	4868000	2
4834000	4868000	4
4835000	4868000	11
4837000	4868000	3
4839000	4868000	2
4840000	4868000	2
4841000	4868000	2
4842000	4868000	5
4844000	4868000	1
4845000	4868000	3
4847000	4868000	2
4848000	4868000	1
4849000	4868000	6
4850000	4868000	6
4852000	4868000	1
4853000	4868000	8
4854000	4868000	1
4855000	4868000	2
4857000	4868000	1
4858000	4868000	1
4859000	4868000	3
4860000	4868000	2
4861000	4868000	5
4862000	4868000	7
4863000	4868000	5
4864000	4868000	10
4865000	4868000	24
4866000	4868000	44
4867000	4868000	116
4868000	4868000	126
4807000	4869000	1
4809000	4869000	1
4810000	4869000	2
4813000	4869000	2
4814000	4869000	2
4815000	4869000	1
4816000	4869000	1
4818000	4869000	1
4819000	4869000	1
4822000	4869000	1
4824000	4869000	1
4826000	4869000	1
4827000	4869000	2
4828000	4869000	3
4829000	4869000	2
4830000	4869000	1
4832000	4869000	1
4834000	4869000	5
4835000	4869000	2
4836000	4869000	1
4837000	4869000	1
4839000	4869000	2
4846000	4869000	1
4848000	4869000	1
4849000	4869000	2
4850000	4869000	3
4853000	4869000	4
4856000	4869000	2
4862000	4869000	3
4863000	4869000	6
4864000	4869000	2
4865000	4869000	1
4866000	4869000	3
4867000	4869000	13
4868000	4869000	97
4869000	4869000	61
4814000	4870000	1
4830000	4870000	1
4839000	4870000	2
4844000	4870000	1
4850000	4870000	2
4853000	4870000	2
4858000	4870000	1
4865000	4870000	1
4866000	4870000	2
4867000	4870000	1
4868000	4870000	23
4869000	4870000	49
4870000	4870000	29
4804000	4871000	1
4814000	4871000	3
4825000	4871000	2
4826000	4871000	1
4832000	4871000	1
4834000	4871000	1
4842000	4871000	1
4849000	4871000	2
4850000	4871000	1
4853000	4871000	1
4858000	4871000	1
4861000	4871000	1
4863000	4871000	1
4866000	4871000	1
4867000	4871000	1
4868000	4871000	14
4869000	4871000	31
4870000	4871000	20
4871000	4871000	44
4814000	4872000	1
4815000	4872000	1
4828000	4872000	1
4831000	4872000	2
4836000	4872000	1
4846000	4872000	1
4850000	4872000	1
4857000	4872000	1
4859000	4872000	1
4860000	4872000	1
4868000	4872000	7
4869000	4872000	17
4870000	4872000	5
4871000	4872000	34
4872000	4872000	19
4813000	4873000	2
4814000	4873000	1
4819000	4873000	2
4825000	4873000	1
4832000	4873000	1
4841000	4873000	1
4845000	4873000	1
4846000	4873000	1
4847000	4873000	1
4854000	4873000	1
4859000	4873000	1
4861000	4873000	1
4862000	4873000	1
4867000	4873000	1
4868000	4873000	8
4869000	4873000	8
4870000	4873000	5
4871000	4873000	10
4872000	4873000	10
4873000	4873000	39
4812000	4874000	1
4826000	4874000	1
4827000	4874000	1
4830000	4874000	1
4831000	4874000	1
4834000	4874000	1
4852000	4874000	1
4860000	4874000	1
4863000	4874000	1
4866000	4874000	1
4868000	4874000	4
4869000	4874000	3
4870000	4874000	1
4871000	4874000	1
4872000	4874000	3
4873000	4874000	23
4874000	4874000	27
4810000	4875000	1
4820000	4875000	2
4826000	4875000	2
4831000	4875000	1
4833000	4875000	2
4843000	4875000	1
4844000	4875000	1
4866000	4875000	1
4868000	4875000	5
4869000	4875000	11
4870000	4875000	3
4871000	4875000	5
4872000	4875000	7
4873000	4875000	9
4874000	4875000	20
4875000	4875000	26
4814000	4876000	1
4819000	4876000	1
4825000	4876000	1
4835000	4876000	1
4837000	4876000	1
4842000	4876000	1
4853000	4876000	1
4862000	4876000	2
4866000	4876000	1
4868000	4876000	2
4869000	4876000	5
4870000	4876000	1
4871000	4876000	2
4873000	4876000	4
4874000	4876000	4
4875000	4876000	17
4876000	4876000	23
4805000	4877000	1
4835000	4877000	1
4868000	4877000	2
4869000	4877000	4
4872000	4877000	1
4873000	4877000	2
4874000	4877000	4
4875000	4877000	6
4876000	4877000	13
4877000	4877000	25
4820000	4878000	1
4823000	4878000	1
4836000	4878000	2
4840000	4878000	1
4853000	4878000	1
4867000	4878000	1
4868000	4878000	2
4869000	4878000	5
4872000	4878000	1
4873000	4878000	1
4875000	4878000	5
4876000	4878000	6
4877000	4878000	5
4878000	4878000	26
4815000	4879000	1
4821000	4879000	1
4823000	4879000	1
4831000	4879000	1
4832000	4879000	1
4846000	4879000	1
4862000	4879000	1
4864000	4879000	1
4866000	4879000	1
4868000	4879000	1
4869000	4879000	2
4870000	4879000	1
4871000	4879000	1
4872000	4879000	1
4873000	4879000	2
4874000	4879000	1
4876000	4879000	3
4877000	4879000	2
4878000	4879000	17
4879000	4879000	21
4830000	4880000	1
4831000	4880000	1
4846000	4880000	1
4847000	4880000	1
4849000	4880000	1
4864000	4880000	1
4867000	4880000	2
4869000	4880000	3
4872000	4880000	2
4875000	4880000	2
4876000	4880000	1
4877000	4880000	2
4878000	4880000	5
4879000	4880000	19
4880000	4880000	32
4825000	4881000	1
4826000	4881000	1
4853000	4881000	1
4868000	4881000	3
4869000	4881000	2
4875000	4881000	1
4878000	4881000	2
4879000	4881000	12
4880000	4881000	24
4881000	4881000	28
4808000	4882000	2
4830000	4882000	1
4861000	4882000	1
4866000	4882000	1
4868000	4882000	6
4873000	4882000	2
4876000	4882000	3
4878000	4882000	2
4879000	4882000	7
4880000	4882000	10
4881000	4882000	17
4882000	4882000	33
4815000	4883000	1
4838000	4883000	1
4864000	4883000	1
4868000	4883000	4
4869000	4883000	1
4870000	4883000	1
4874000	4883000	1
4875000	4883000	1
4877000	4883000	1
4878000	4883000	2
4879000	4883000	5
4880000	4883000	7
4881000	4883000	9
4882000	4883000	26
4883000	4883000	31
4805000	4884000	1
4809000	4884000	1
4814000	4884000	1
4819000	4884000	1
4835000	4884000	1
4842000	4884000	1
4850000	4884000	1
4866000	4884000	1
4868000	4884000	4
4873000	4884000	1
4874000	4884000	1
4875000	4884000	1
4876000	4884000	1
4877000	4884000	1
4878000	4884000	1
4879000	4884000	2
4880000	4884000	2
4881000	4884000	3
4882000	4884000	11
4883000	4884000	22
4884000	4884000	29
4803000	4885000	2
4806000	4885000	1
4826000	4885000	1
4835000	4885000	1
4851000	4885000	1
4853000	4885000	2
4863000	4885000	1
4865000	4885000	1
4866000	4885000	1
4868000	4885000	3
4870000	4885000	2
4874000	4885000	3
4875000	4885000	2
4877000	4885000	1
4878000	4885000	1
4879000	4885000	1
4880000	4885000	3
4881000	4885000	3
4882000	4885000	6
4883000	4885000	6
4884000	4885000	42
4885000	4885000	63
4850000	4886000	1
